user_id;session_id;event_name;event_times;country;device_category;platform;product_cat;price;currency;referral_source;event_date;year
c786f5e6-a5b8-45fc-94ee-efeba1a209ce;sid_1129;session_start;1,76E+20;Argentina;mobile;android;;;USD;organic;9/10/2025 11:03;2025
ebbdc8e6-d0ec-4dd8-bf98-c3a9ec5c2c68;sid_5815;user_engagement;1,75E+20;Argentina;mobile;web;;;USD;paid_search;4/07/2025 0:48;2025
57bcc15e-dfa1-426a-bf15-1cb0b8665ef5;sid_5890;page_view;1,74E+20;Colombia;desktop;ios;;;USD;direct;11/03/2025 18:14;2025
6059a285-1fea-4841-ab6c-c7263001a193;sid_5790;first_visit;1,74E+20;Ecuador;desktop;android;;;USD;affiliate;9/03/2025 19:30;2025
733ffd87-fcad-4126-8b11-fed235be4ab2;sid_3254;page_view;1,73E+20;Peru;desktop;web;;;USD;organic;25/10/2024 18:41;2024
0053dcb9-5e3e-4ac1-ae9f-f654600d0046;sid_6651;select_item;1,76E+19;Chile;mobile;ios;Toys;;USD;social;11/11/2025 22:05;2025
d2b2dadf-2310-48ab-9e81-e3856b53faa2;sid_990;view_promotion;1,76E+20;Bolivia;desktop;web;;;USD;social;11/09/2025 0:48;2025
4406b610-4adb-4a02-b3cd-a0bfd2258efc;sid_6202;click;1,76E+20;Colombia;desktop;web;;;USD;organic;26/10/2025 9:08;2025
86f2a4c7-670b-4422-85e3-3348e4c08891;sid_952;page_view;1,73E+20;Mexico;mobile;web;;;USD;social;27/10/2024 0:35;2024
fc30c237-5c54-42d7-95ef-c2d8d6832d9c;sid_5956;user_engagement;1,75E+20;Argentina;desktop;ios;;;USD;paid_search;20/06/2025 17:49;2025
8112ba69-f5f6-4a65-9c4d-7800de742f7a;sid_1318;page_view;1,75E+20;Brazil;mobile;android;;;USD;organic;3/08/2025 13:33;2025
9e897643-cca5-48a2-a1e0-24b3cc708749;sid_1192;page_view;1,75E+20;Mexico;mobile;web;;;USD;direct;30/06/2025 14:00;2025
bdce466d-8dcc-4609-bace-37bdcf028b10;sid_3255;page_view;1,74E+20;Argentina;mobile;android;;;USD;direct;6/04/2025 13:32;2025
01be203b-edbe-472f-b6c3-4133f07be599;sid_4167;click;1,73E+20;Mexico;mobile;web;;;USD;email;6/11/2024 22:00;2024
8749e2bd-2244-4453-a8d4-1c4459fc6d91;sid_3957;page_view;1,74E+20;Argentina;mobile;android;;;USD;paid_search;4/04/2025 7:53;2025
208eb7d6-101f-466e-95c7-dc1792b637fc;sid_1020;view_promotion;1,72E+20;Peru;mobile;android;;;USD;direct;24/07/2024 9:27;2024
41892a3b-b9eb-4c69-bcb2-21d4850263aa;sid_3422;session_start;1,74E+20;Mexico;mobile;android;;;USD;direct;21/02/2025 5:51;2025
912a4b47-01bc-48f9-8d49-42f7060869fd;sid_4379;select_item;1,72E+20;Colombia;mobile;android;Electronics;;USD;paid_search;15/06/2024 23:13;2024
f67f4ecd-cd0b-4e8f-9ebf-a733defccb01;sid_2284;page_view;1,76E+20;Peru;mobile;web;;;USD;direct;17/09/2025 3:06;2025
0154be3b-361c-4352-a420-4f9a6cdda58f;sid_4576;view_item;1,74E+20;Chile;mobile;web;Fashion;78.36;USD;organic;13/01/2025 3:46;2025
a36a7f26-26f4-46f3-8a53-62b22fed7dc8;sid_908;page_view;1,76E+20;Mexico;desktop;android;;;USD;social;20/10/2025 1:01;2025
2f080864-4580-4494-a825-ad1dff6e41af;sid_5931;page_view;1,73E+20;Argentina;mobile;android;;;USD;direct;19/11/2024 13:23;2024
df60025c-0ed7-48df-92d9-19715384f212;sid_3297;user_engagement;1,75E+20;Peru;mobile;web;;;USD;direct;13/06/2025 0:47;2025
604f56f6-f4d4-4582-9ae1-e15cde2a0f2a;sid_2544;page_view;1,76E+20;Argentina;mobile;ios;;;USD;social;24/08/2025 8:39;2025
a4c2ac25-85e7-47c6-8a12-4b1968aa6adc;sid_4547;page_view;1,73E+20;Brazil;mobile;web;;;USD;direct;24/09/2024 23:41;2024
22840b76-4cef-4ccf-b81a-cde0d9015833;sid_1832;click;1,73E+20;Chile;mobile;web;;;USD;organic;30/11/2024 8:59;2024
06ad8faa-11ef-4809-a0fa-99da41befaed;sid_1084;page_view;1,76E+20;Chile;desktop;ios;;;USD;social;1/11/2025 3:58;2025
b2ccdd4e-83e0-43b4-b47f-5041488e8115;sid_7067;page_view;1,76E+20;Brazil;desktop;web;;;USD;affiliate;14/10/2025 19:56;2025
b5ad79af-faa2-4f60-886c-a8883e12aa1d;sid_1253;view_item;1,73E+20;Argentina;mobile;ios;Fashion;161.93;USD;email;16/11/2024 15:43;2024
05b2dfe4-8cf6-40ae-974f-3b5c88bf7b2a;sid_1247;session_start;1,76E+20;Colombia;mobile;ios;;;USD;organic;21/10/2025 16:06;2025
96034135-3dc5-474c-a07a-a9a1aa5f9423;sid_572;page_view;1,76E+20;Brazil;mobile;ios;;;USD;email;11/10/2025 6:35;2025
efd520fb-c079-49cc-a511-d8e3d35bbba3;sid_4266;page_view;1,75E+20;Colombia;mobile;android;;;USD;affiliate;6/07/2025 21:03;2025
0ab6cd29-c4ba-4c26-af0c-3a4583fc071d;sid_5739;page_view;1,74E+20;Colombia;tablet;android;;;USD;email;18/03/2025 23:00;2025
fb589437-ef18-4170-93cb-a535cc010bb7;sid_223;session_start;1,73E+20;Argentina;tablet;ios;;;USD;social;23/10/2024 11:18;2024
ae114714-b4a0-45e3-8b38-b5f31410734e;sid_1444;page_view;1,74E+20;Mexico;mobile;ios;;;USD;social;10/03/2025 12:29;2025
cceeb626-44f7-4b30-8a04-c161657e8202;sid_6706;page_view;1,76E+20;Paraguay;mobile;web;;;USD;paid_search;10/10/2025 5:07;2025
d7984859-0046-45bc-8de7-0c547b2236ad;sid_3702;page_view;1,74E+20;Colombia;tablet;ios;;;USD;email;10/02/2025 18:15;2025
203813d1-6bf9-49d3-b1ad-cf1a5b40e40b;sid_801;user_engagement;1,75E+20;Peru;tablet;android;;;USD;paid_search;29/07/2025 23:37;2025
646bd0ae-188c-444b-9dda-0e660c468c75;sid_4820;session_start;1,76E+20;Colombia;mobile;web;;;USD;affiliate;24/10/2025 23:04;2025
2fe6b1bf-ad9c-4b15-8dce-adfbf2dcff4e;sid_6447;page_view;1,76E+20;Brazil;desktop;web;;;USD;email;24/10/2025 5:25;2025
