user_id;signup_datetime;country;device_category;platform;activity_date;prob_active;day_after_signup;active;signup_date
00198c1f-bc1e-403e-b46a-67b0b3ac7657;1/05/2025 18:02;Brazil;tablet;web;9/05/2025;0.1697;8;0;1/05/2025
95ae7ee8-6026-4ba7-b3f3-20637ab9cb81;22/07/2025 18:44;Argentina;mobile;ios;13/08/2025;0.143;22;0;22/07/2025
f3114176-2173-4cbb-b8bd-65475cfb7b52;24/05/2025 1:02;Chile;mobile;ios;31/05/2025;0.2164;7;1;24/05/2025
8a0895e4-cb25-4138-9560-e334b472ac7d;8/03/2025 23:03;Peru;mobile;android;19/03/2025;0.0925;11;0;8/03/2025
f8868b6f-c5ab-4a3b-bce7-2f8966a87ee2;7/01/2025 5:24;Brazil;mobile;ios;2/02/2025;0.0377;26;0;7/01/2025
87792266-f1b9-4494-8f0e-145a97fff482;24/06/2025 3:41;Argentina;desktop;web;22/07/2025;0.0352;28;0;24/06/2025
ae9c2a89-fcc3-4af9-af26-2963dfd1fc77;26/07/2025 22:29;Brazil;mobile;android;21/08/2025;0.0371;26;0;26/07/2025
b25f77f9-5512-484d-907b-28ba9d91c1fb;3/07/2025 7:23;Mexico;mobile;android;25/07/2025;0.0561;22;0;3/07/2025
1e245210-e2e2-46d5-82cc-867263ac3837;14/08/2025 3:43;Uruguay;mobile;ios;24/08/2025;0.1783;10;1;14/08/2025
1b37175a-d2d2-47bc-956d-1d37ea005d81;26/02/2025 21:09;Mexico;desktop;web;1/03/2025;0.3593;3;0;26/02/2025
45f7cc88-97ac-4c0e-837d-a33977ec0ea8;3/02/2025 4:34;Peru;desktop;web;13/02/2025;0.1747;10;1;3/02/2025
d45c068c-68f6-4496-937d-8a886932cf2b;12/02/2025 10:48;Chile;mobile;ios;19/02/2025;0.2437;7;0;12/02/2025
e35bef14-28b1-4c75-801b-764f1ca39f9e;25/04/2025 9:35;Uruguay;mobile;android;28/04/2025;0.423;3;1;25/04/2025
7e232b86-e3e4-41ad-a57c-944841bfd95e;2/04/2025 7:26;Chile;mobile;android;30/04/2025;0.0453;28;0;2/04/2025
ec842d18-0c8f-41aa-8929-b3072eb6cfbb;3/08/2025 6:20;Argentina;mobile;android;31/08/2025;0.0752;28;0;3/08/2025
e7533b41-e728-4fb1-be24-7cfb056b3f3c;12/08/2025 22:07;Brazil;tablet;web;5/09/2025;0.0456;24;0;12/08/2025
472f0f0f-1581-4e01-88a0-9bb573b88d35;25/04/2025 7:24;Colombia;mobile;android;12/05/2025;0.0534;17;0;25/04/2025
9fb75eca-1312-494b-9c3d-c5c1b0c44416;18/01/2025 8:29;Colombia;mobile;android;27/01/2025;0.1762;9;0;18/01/2025
c4aa8f90-ae5c-4771-a2fe-45ba47e6d3bf;20/07/2025 10:14;Chile;mobile;android;12/08/2025;0.0391;23;0;20/07/2025
5e1762c9-92e6-4238-abdd-6d8215c2478a;11/03/2025 17:10;Mexico;desktop;web;27/03/2025;0.0398;16;0;11/03/2025
7edef858-469f-4da3-bfb0-1f703e226943;25/05/2025 6:09;Chile;mobile;android;11/06/2025;0.0702;17;0;25/05/2025
3911bc1d-443b-4847-9f04-14315492be54;13/02/2025 17:31;Brazil;mobile;android;13/02/2025;0.98;0;1;13/02/2025
b2418664-7b91-4feb-86a1-d3451dcffe2b;25/08/2025 12:23;Mexico;desktop;web;16/09/2025;0.0524;22;0;25/08/2025
59f748a1-d79c-4a24-881d-a02ef74cc9ee;24/03/2025 7:18;Mexico;mobile;android;4/04/2025;0.1362;11;0;24/03/2025
9fb9c761-fea5-4d82-bc52-2fa9c777737d;19/02/2025 23:37;Brazil;mobile;android;25/02/2025;0.3121;6;0;19/02/2025
3e606fc6-b755-4dba-92f3-d8fb8d120068;12/07/2025 0:20;Peru;mobile;android;12/07/2025;0.98;0;1;12/07/2025
c066b7ad-c5ff-42b9-969e-3e872220595c;21/07/2025 5:36;Argentina;mobile;ios;28/07/2025;0.2103;7;0;21/07/2025
e29c964e-a191-44b7-951d-d095efb66ab9;9/04/2025 3:57;Mexico;mobile;android;24/04/2025;0.1138;15;0;9/04/2025
24e2af5a-b250-457d-be44-4d886d67880e;18/07/2025 14:33;Argentina;mobile;ios;20/07/2025;0.4629;2;1;18/07/2025
a69738d9-db2e-43ca-95cc-b64df2876866;31/01/2025 10:25;Colombia;mobile;ios;11/02/2025;0.1488;11;1;31/01/2025
f09e05ad-976d-4011-a50a-24eba9c033ad;19/08/2025 2:12;Brazil;desktop;web;8/09/2025;0.033;20;0;19/08/2025
4f6e463b-2bf9-4088-9b7e-4352121aa04d;4/04/2025 20:46;Colombia;mobile;android;10/04/2025;0.2809;6;0;4/04/2025
742ea624-f8cc-4ad4-bf88-d4e8a020bfb3;14/06/2025 4:24;Colombia;mobile;ios;30/06/2025;0.2111;16;0;14/06/2025
442b1f86-29df-446d-9ed6-6aa3d0b6a133;1/07/2025 10:40;Argentina;tablet;web;16/07/2025;0.0608;15;0;1/07/2025
808defc2-2ac7-4d8d-a254-e5b20d168e2f;11/04/2025 11:00;Ecuador;mobile;ios;11/04/2025;0.98;0;1;11/04/2025
8554fb82-fe04-4055-847d-6dafd2f8e44a;11/02/2025 17:02;Ecuador;desktop;web;4/03/2025;0.0316;21;0;11/02/2025
bbbb895b-714a-49f4-b895-699fcaef1192;8/03/2025 4:14;Peru;mobile;android;16/03/2025;0.2284;8;0;8/03/2025
fd6c75f3-eb99-43e1-94e6-45511a91a377;10/04/2025 2:12;Colombia;mobile;android;27/04/2025;0.1037;17;1;10/04/2025
f6e805e6-b1c8-48f3-82c9-c06d6c6505b1;29/04/2025 1:53;Argentina;mobile;android;3/05/2025;0.3673;4;1;29/04/2025
f2f63815-0b95-44c0-9207-2320dd750bf5;20/04/2025 2:23;Chile;mobile;android;1/05/2025;0.2261;11;0;20/04/2025
f5e3321b-e730-4325-aca3-733db3d08935;6/04/2025 3:37;Colombia;mobile;ios;20/04/2025;0.0966;14;0;6/04/2025
0730527d-8d1c-45f6-993f-4e56f9650bf6;16/06/2025 2:23;Bolivia;mobile;android;25/06/2025;0.2744;9;0;16/06/2025
dea649e1-b10e-405c-b874-efbc6f701168;10/01/2025 7:41;Mexico;desktop;web;12/01/2025;0.466;2;0;10/01/2025
123bbfd6-6a2f-4113-a8d5-3994fc100ee2;26/03/2025 1:25;Colombia;desktop;web;2/04/2025;0.2136;7;0;26/03/2025
361c78d1-97c8-42db-8883-2e376a751b37;15/03/2025 4:38;Colombia;desktop;web;5/04/2025;0.0416;21;0;15/03/2025
f112e079-33b5-41c8-92fb-0b632fcc2834;27/03/2025 23:50;Peru;mobile;ios;8/04/2025;0.1415;12;0;27/03/2025
b667bf76-caf3-4afc-b608-80fd4ebe229f;10/08/2025 13:59;Paraguay;mobile;android;19/08/2025;0.1537;9;0;10/08/2025
59073713-d3bf-4c50-b9bb-b7618c9e25ff;14/03/2025 6:25;Mexico;mobile;android;5/04/2025;0.0195;22;0;14/03/2025
8e8aebff-baff-4f24-93ab-70e4dfd7d451;5/03/2025 10:44;Ecuador;mobile;ios;24/03/2025;0.0987;19;0;5/03/2025
96ae23a1-7bdc-4872-b444-abf95003077a;13/03/2025 9:06;Brazil;mobile;android;22/03/2025;0.165;9;0;13/03/2025
d2b8bf5f-4bca-4f28-87ad-80462b7ebde8;18/05/2025 19:56;Mexico;desktop;web;1/06/2025;0.0518;14;0;18/05/2025
54e496b6-b3b5-4605-8d34-b57b68d09e53;28/05/2025 11:32;Mexico;mobile;android;14/06/2025;0.0634;17;0;28/05/2025
214e1e04-1863-409d-97d5-7b10ea8916f0;16/04/2025 19:50;Peru;mobile;android;9/05/2025;0.0315;23;0;16/04/2025
1ac972dc-b14c-4b2b-be43-0819089aa62f;15/05/2025 19:10;Colombia;mobile;android;10/06/2025;0.0157;26;0;15/05/2025
860721d1-3897-4200-9f89-3758be2ad533;27/07/2025 2:53;Bolivia;desktop;web;15/08/2025;0.0295;19;0;27/07/2025
621d7719-13e1-487b-a94f-76e8952158c5;10/08/2025 21:15;Mexico;tablet;web;31/08/2025;0.0245;21;0;10/08/2025
1fa5cb1f-89ad-41e7-920c-1357df192214;30/07/2025 1:56;Colombia;mobile;ios;24/08/2025;0.0328;25;0;30/07/2025
0eb44902-b57d-43d9-8914-de1d073cd980;12/05/2025 9:09;Chile;mobile;android;31/05/2025;0.0421;19;0;12/05/2025
99708e44-8a39-473d-ae16-4ff0851ac73f;8/05/2025 12:13;Brazil;mobile;ios;9/05/2025;0.5943;1;1;8/05/2025
d492283f-d148-4ada-a1fd-0cb79aa6f63f;6/02/2025 20:49;Brazil;mobile;android;20/02/2025;0.1142;14;0;6/02/2025
403bd109-33c3-43a6-8e7d-76c2c0562a10;18/04/2025 12:51;Brazil;mobile;android;14/05/2025;0.0238;26;0;18/04/2025
6751bef4-621a-4c5f-9b63-a707d18a4fdc;25/05/2025 16:20;Brazil;mobile;android;14/06/2025;0.0375;20;0;25/05/2025
6d2a5d4b-8c23-4eef-9a79-a470c0bf807f;28/06/2025 15:30;Bolivia;mobile;android;18/07/2025;0.0492;20;0;28/06/2025
59431dd2-e47b-4647-af25-7a088ba20fa6;9/05/2025 2:44;Brazil;tablet;web;13/05/2025;0.363;4;1;9/05/2025
7a21ca0f-874c-4c59-8f15-a642b260b802;11/01/2025 7:01;Brazil;desktop;web;29/01/2025;0.0396;18;0;11/01/2025
